Qty,Designator,Footprint,Comment,LCSC Part #,Description,Value
1,ABL_LED,LED_3MM-NS,LED-3MM-NO_SILK,,LED (Generic),
1,12V/24V,SJ,SJ,,SMD solder JUMPER,
1,R9,603,RESISTOR0603,,Generic Resistor Package, 720R
4,"C3, C4, C8, C9",0603-CAP,0.1UF-25V-5%(0603),,CAP-08604,0.1uF
1,C5,603,9.0PF-0603-50V-10%,,9.0pF ceramic capacitors,0.1uF
2,"R1, R2",0603-RES,100OHM-1/10W-1%(0603),,RES-07863,100
1,R10,603,RESISTOR0603,,Generic Resistor Package,100R
1,R7,0603-RES,10KOHM-1/10W-1%(0603)0603,,RES-00824,10K
2,"C6, C7",1210,10UF50V20%(1210),,CAP-09824,10uF
1,C10,603,9.0PF-0603-50V-10%,,9.0pF ceramic capacitors,1uf
1,R6,0603-RES,20KOHM1/10W1%(0603),,RES-09383,20k
1,R8,603,RESISTOR0603,,Generic Resistor Package,220R
1,L1,805,INDUCTOR0805-IND,,Inductors,3.3uH
1,R5,0603-RES,8.2KOHM-1/10W-5%(0603),,RES-10646,8.2K
1,X8,JST-XH-02-PACKAGE-LONG-PAD,JST-XH-02-PIN-LONG-PAD,,JST XH Connector 2 Pin,ABL_LED
1,U$2,FRACKTALLOGO,FRACKTALLOGO,,,FRACKTALLOGO
1,U5,SO16,HX711HX711,,,HX711
1,X4,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,INPUT
1,U2,SOT223,V_REG_317SMD,,Voltage Regulator,LM317
1,X3,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 1
1,X2,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 2
1,X1,JST-XH-04-PACKAGE-LONG-PAD,JST-XH-04-PIN-LONG-PAD,,JST XH Connector 2 Pin,LOADCELL 3
1,Q1,SOT23-3,TRANSISTOR_PNPMMBT4403,,Generic PNP BJT,MMBT4403
1,U$1,NANO,NANO,,Arduino Nano,NANO
5,"12V, 24V, GND, ZDIR, ZOUT","B2,54","TPB2,54",,Test pad,"TPB2,54"
