24V,70.1,33.98,0,TPB2,
C1,85.37,66.52,0,10uF,1210
C2,75.54,66.42,0,10uF,1210
C3,64.42,39.5,90,0.1uF,603
C4,67.57,39.53,270,1uf,603
C11,75.65,47.16,180,0.1uF,0603-CAP
C12,71.01,52.1,0,0.1uF,0603-CAP
C13,71.12,66.32,180,0.1uF,0603-CAP
C14,80.95,66.52,180,0.1uF,0603-CAP
GND,75.18,33.98,0,TPB2,
L2,70.94,59.55,0,3.3uH,805
Q2,70.78,62.21,90,MMBT4403,SOT23-3
R1,64.41,42.96,90,720R,603
R2,67.59,42.99,270,240R,603
R3,70.93,49.64,0,100,0603-RES
R4,70.9,47.13,0,100,0603-RES
R11,70.91,54.49,0,8.2K,0603-RES
R12,71.01,56.91,0,20k,0603-RES
R13,83.99,59.28,0,10K,0603-RES
R14,93.37,36.37,0,15,603
R15,100.35,76.08,180,2K,603
U1,77.62,56.09,270,HX711,SO16
U2,73.95,41.45,270,LM317,SOT223
U3,101.82,62.94,270,MOUDLE14P-2.54-21X17.8MM,
ZDIR,80.26,33.98,0,TPB2,
ZOUT,85.34,33.98,0,TPB2,
Z_OUT,93.76,34.13,180,SML0603,
